sentence,label
"Quán sạch_sẽ , đồ_ăn ngon , giá hơi mắc nhưng đi liền với chất_lượng . Chủ quán hiền . Thích .
",1
"- Đồ uống ngon nhưng riêng sinh_tố dưa_hấu bị ngọt quá . Khá thích đến đây vì view đẹp và đồ ăn_uống rẻ . Thích bác bảo_vệ nữa vì bác nhiệt_tình và hay gọi mình là con = ) ) ) mỗi_tội sinh_tố dưa_hấu bị quá ngọt và btt thì hơi mặn một_chút so với khẩu_vị của mình . Ncl vẫn thích quán rất nhiều
",1
"Vô_tình biết được shop này trên Facebook , thấy món là_lạ nên order luôn . Đây chủ_yếu bán online nhưng nếu bạn muốn đến tận nơi lấy thì đặt trước 1-2h đến shop chuẩn_bị .
 Quả không làm mình thất_vọng . Bánh_tráng ăn giòn , vị đậm_đà , cay nữa . Ăn đúng thích ! Tay cứ bốc ăn liên_tục không ngừng được : ) ) )
 Mình thích và thường uống nước chanh nhưng đây là lần đầu_tiên được uống nước chanh sả . 1 chai ( hình_như 200ml ) là 20 ngàn . Thơm mùi sả lại ngọt vị chanh . Lạ nhưng ngon ! Không biết uống có giảm cân được không nhỉ : ) )
 Bạn bán hàng nói_chuyện siêu dễ_thương , anh giao hàng trông cũng đẹp_trai đó = ) ) )
",1
"Cơ_bản bạn_thân mình mở quán này nên mình rất gắn_bó . Mặc_dù vậy nhưng mình không hề thiên_vị khi nói quán làm_ăn rất ok , chất_lượng và an_toàn . Chủ quán là bạn mình - một người rất kĩ_tính trong khâu ăn_uống nên k hề qua_loa , nên mỗi lần mình uống trà sữa hay yaua dẻo đều rất an_tâm .
 Trà sữa ở đây mình thấy đậm vị , mà_lại còn được pha bằng sữa vinamilk : v lúc đầu thấy nó pha_chế bằng vinamilk mình cũng hơi ngợp : v nói_chung với chủ quán thì tiêu_chí chất_lượng luôn đi đâu : 3
 Nên mọi người yên_tâm khi uống ở đây nhé 😄
",1
"Ghé quán lần 2 vào buổi tối . Quán đông khách . Buổi tối có ghe ngồi ngoài đường mát_mẻ , ngắm đường_phố .
 Bánh gấu ngon_ăn không ngán
",1
"Mình mới ăn lần đầu , bánh khá ngon , giá rất vừa_phải nếu_không nói là khá rẻ so với một chỗ ngồi đẹp như_vậy . Mình đi ăn lúc 9h tối rồi mà quán vẫn đông , mua về nhiều ăn_ở quán thì ít nên chỗ ngồi thoải_mái . Mình gọi tart hoa_quả và forma trà xanh , 1 sữa_chua và 1 cốc trà xanh nóng hết 66k . Tart hơi cứng so với tưởng_tượng còn forma thì rất mềm 👍 . Phục_vụ tốt . Lần sau nhất_định đến ăn tiếp .
",1
"Mình vẫn hay thường uống trà sữa ở hot & cold Hậu_Giang nhưng đây là lần đầu post lên foody ! Thức uống ở quán thì rất chất_lượng không thay_đổi , không_gian quán thì hơi tối nhưng mình rất thích ngồi ở lầu 2 mát_lạnh thoải_mái vì mình thường hay lên tâm_sự với bạn_bè . Nhân_viên thì rất nhiệt_tình và vui_vẻ với khách ! Mình cảm_thấy rất hài_lòng với quán Hot & Cold_Hậu giang : )
",1
"Đọc bình_luận ở Foody , nên hôm_nay quyết_định tới đây ăn .
 Đường nhìn có_vẻ khó nhưng thức ra rất dễ
 Vô đầu_tiên ngửi thấy mùi hương giống ở Huế , vì là gốc Huế nên nhận ra ngay .
 Các món rất ngon . Bánh đập ăn kèm với mắm_nêm siêu siêu ngon . Tiếp_theo tới Bánh_tráng rảnh ( mọi người đừng kêu vì theo mình thấy nó rất dở ) . Bánh thập_cẩm ngon lắm . Gần đc Huế 90% . Hơi hơi no mà kêu mì quảng sườn tôm thịt . Ăn ngon nhưng đến lúc ăn sườn là ngán luôn . Mọi người ghé thử nha
",1
"Anh chủ quán thiệt dễ_thương , phục_vụ nhanh lại hỏi_han chăm_sóc món ăn chu_đáo . Giá_cả niêm_yết sẵn và rẻ . Đặc_biệt món bánh_tráng thịt heo cực ngon ... , mỳ quảng đúng chất Quảng . Chưa thử bánh_xèo . Hẹn lần sau .
",1
"Bánh thơm , dẻo , béo vừa ... ăn đúng lúc lạnh thì ngon hết_sẩy ... giá hơi cao nhưng rất đáng đồng_tiền nhé . Quầy bánh cũng sang , nhân_viên thân_thiện , nói_chung lần nào lên Vincom cũng quyết_tâm ăn cho bằng được_một_cái rồi về : ) )
",1
"Bánh cá ở đây ngon quá đi mất . Nhân gì mình cũng ưng . Đặt biệt là nhân xúc_xích và cá_ngừ , bột bánh_nướng ngoài giòn bên trong thơm bơ và sữa . Giá mặc_dù đắt hơn những chỗ khác nhưng tiền nào của nớ . Thà mình bỏ thêm 3 ngàn mà ăn_ở Mr.Top mà hài_lòng với mình còn hơn .
",1
"Bạn đã chán khoai_tây KFC ỉu_xìu ? Bạn đã chán khoai lắc Lotteria với vị phô_mai đơn_điệu ? Đến surf and fries và chắc_chắn các bạn sẽ hài_lòng .
 Tọa_lạc ngay cạnh Al_Freshco rất gần với nhà_thờ lớn , SaF sở_hữu một diện_tích lớn , rộng_rãi , đủ chỗ cho những nhóm đông người . Đồ_ăn của quán cũng rất ngon với mười_mấy loại nước sốt khiến mình chọn hoa cả mắt . Mình đi cùng bạn_gái và hay gọi suất combo 104k với một khoai chiên cỡ lớn tặng 2 nước sốt , 2 đùi gà và 2 cánh_gà , khá rẻ , ăn là no .
 Mình thích ăn sốt địa trung hải và sốt cay , chấm khoai và chấm gà đều ngon . Khoai ở đây cũng cắt hình chữ V khá là dị nhưng ăn rất ổn .
",1
"Nhân_tiện một ngày được cho nghỉ sớm , không muốn về nhà giữa cái nắng gay_gắt nên đi thử quán Oromia . Nghe thiên_hạ đồn quán này có không_gian dễ_thương , người trong quán cũng dễ_thương , mấy em mèo cũng dễ_thương nốt nên đi cho_biết với người_ta . Thiệt tình là không uổng công lên tận chổ , vì trời nóng nên quyết_định uống hai món đá xay với soda . Phải nói trà xanh ở đây tuyệt_vời : x : x , ngọt vừa đủ , béo vừa đủ hihi . Buồn miệng quá nên gọi cái gì đó ăn cho vui . Chỉ là kêu ăn cho vui thôi mà ngon thiệt < 3 . Ăn cho đã rồi đi vòng_vòng quán chụp hình . Chụp cảnh chán thì đè mấy em mèo ra chụp hình , mấy em vừa hiền vừa dễ_thương . Chỉ có cái là vô quán phải gửi xe ở đằng đầu hẻm . Cơ_mà nói_chung rất thích , sẽ quay lại vào lần sau để thử các món khác hihi .
",1
"quán vào đúng giờ ăn thì rất là đông khách , nhưng phục_vụ vẫn tốt .
 đồ_ăn mình thấy hầu_hết món nào cũng ngon hết 😁 rất thích cơm_rang dưa bò và nui xào bò ở đây . ăn vừa_miệng , đầy_đặn mà giá rất hợp_lí chỉ 30k . trà thái uống đc ☺ ️
",1
"Cloud garden coffee có lối kiến_trúc mở hiện_đại , gần_gũi với thiên_nhiên nên ban_ngày lẫn ban_đêm , đây đều là nơi tuyệt_vời để chụp choẹt .
 Thực_đơn khá phong_phú và giá_cả thì tương_đối mềm . Mình thử matcha ice blended và matcha chocolate , rất ngon , vị matcha vừa_phải , kem không quá ngọt và không quá béo như những nơi khác .
 Quán gần nhà , dùng được ecard , vừa đẹp , nước uống vừa ngon mà phục_vụ thì nhiệt_tình thế_này chắc sẽ còn ghé hoài !
",1
"Hôm_nay đi làm về ghé ăn bánh_đúc thì thấy quán để bản sắp dời quán ra 76 Cửu_Long , khu Cư_Xá_Bắc_Hải , p15 , Quận 10 , vì chủ nhà lấy lại mặt_bằng ( quán nào bán đông khách thường hay bị vậy ) nghe_nói 1tuần hay 10 ngày nửa sẽ chuyển đi . Mặt_bằng quận 10 chắc phải mắc gấp đôi Gò_Vấp . Bánh_đúc hôm_nay đã được cải_thiện rất nhiều , bánh hôm_nay có màu vàng óng_ả rất hấp_dẫn , nước_mắm ăn cũng đậm_đà hơn . Thấy có nhiều khách tiếc_nuối hỏi sao dời đi xa vậy , mai_mốt muốn ăn cũng khó . Nhưng theo mình thấy quận 10 nằm ở trung_tâm , ra quận 10 thì các bạn ở quận khác muốn qua ăn cũng dễ hơn , có nhiều bạn ở tận quận 4 , quận 7 , quận 10 ... muốn ăn cũng phải chạy qua mất cả tiếng đồng_hồ , nhưng vì thèm quá cũng phải đi . Mình là fan ruột của quán , nói_chung sẽ ủng_hộ quán dài_dài . Chúc quán buôn_bán thành_công .
",1
"Từ_Sài_Gòn chạy về Vũng_Tàu phải ghé chỗ này ăn thử xem sao mà ai cũng khen hết
 Đường 27 tháng 4 không khó tìm đâu , mình chạy hướng chợ Bà Rịa chạy thẳng là thấy ngay à . Quán nằm trong con hẻm nhỏ , đi vô quẹo trái là thấy bàn_ghế bao_la
 Quán có 2 mặt_tiền thì_phải , phía trước để cho khách mua về , phía sau để phục_vụ khách đến quán , mình ngồi phía ngoài sân nên chưa vào tới bên trong quán như_thế_nào chỉ thấy thoáng , sáng_sủa , sân cũng sạch_sẽ , mát_mẻ nữa
 Gọi 40 trứng cút lộn ăn thử thì y_chang mọi người đồn , sao ngọt thế , ngon hơn mình ăn_ở Vũng_Tàu , ngọt_bùi ăn mà đọng ở cổ_họng không phải ngọt gắt nhé . Tò_mò không biết luộc sao ngay thế , vỏ ở ngoài thì nát nhưng không bị ứ nước ra . Rau_răm kèm theo thì ăn phủ_phê luôn . có cả trà đá miễn_phí hehe
 Ăn xong mình có mua về thêm 20 trứng nữa cho gia_đình vì giá có 17k/chục thôi à
 Nhân_viên nhanh_nhẹn , tận_tình , không phải chờ lâu đâu nha .   Hi_vọng có dịp mình sẽ có thời_gian ghé ăn nhiều lần nữa . Tuyệt
",1
"Nhân lúc nhà_hàng chạy ưu_đãi buffet trên fanpage nên nhóm mình 4 đứa đặt trước rồi lên lịch đi luôn .
 Điểm trừ khi đến nhà_hàng là phải gởi xe ở gần đường Tôn_Đức_Thắng rồi lội_bộ tới .
 Chưa buffet nào mình đi ăn mà_lại thấy lời , vì lúc mình đi chừng 250k à , mà trong menu còn có buffet nước ( có luôn bia Sapporo ) . Thực_đơn các món đa_dạng cực_kì , đủ thể_loại không đếm xuể .
 Thằng em nó gọi ôi_thôi quá_xá nhiều , mà nhờ đi nhằm hôm vắng nên món ăn lên tới_tấp không kịp chụp và ăn nên 1 hồi hết chỗ để luôn .
 Sashimi và sushi tươi ngon lắm nha , nấm nướng , cá nướng , tempura nè , cơm cuộn nè , đều ngon hết .
 Riêng cái phô_mai cây gì đó mặn quá , ăn_không được . Mì thịt bò thì vị ngọt quá .
   Phục_vụ dễ_thương , thân_ái hết_sức .
",1
"Chè ở đây theo mình rất ngon , độ ngọt vừa_phải , 1 ly 8k mà đậy ụ . Đôi_khi nghĩ là chỉ ăn 1 ly thôi nhưng ngon quá nên quất luôn 2 ly . Chị chủ thì vui_vẻ , dễ_thương , thân_thiện quá_chừng . Ngày nào mình cũng ghé ăn , ngày nào mưa không ghé được là thấy thèm quá , nhớ chị chủ dễ_thương nữa . Tầm chiều là khách đông lắm , phục_vụ không kịp luôn . Mấy bạn thèm chè thì nhớ đến ăn thử nha : D
",1
"Mùng 6 Tết đi ăn trưa ở đây , quán trang_trí đẹp và bắt_mắt . Nhân_viên nhanh_nhẹn dễ_thương . Order 1 set combo tặng nước Lẩu_Âm_Dương là 299k . Mua thêm combo Rau 178k và 1 dĩa Udon , 1 dĩa Mì_Xanh . Chấm sốt Suki ăn ngon và no nè
 Sẽ quay lại khi thèm An_Lẩu .
",1
"mình ăn_ở đây mấy lần rồii . ngon lắm luôn 👍 🏻 mình nghĩ đây là kebab ngon và chất_lượng nhất sài gòn đấy : ( ( ( ( ăn phần_lớn 25k là no cả buổi luôn đó , thịt thì bao laa . tới quán thấy cả cây thịt cừu khổng_lồ luôn : ( ( đa_số mng đều mua đem về . phần đặc_biệt 30k 2 ng ăn mới hết đó
",1
"Tano shushi mình đi nhiều lần rồi vì rất thích món ăn_ở đây ... ngon giá lại mềm . Có riêng menu cho set ăn trưa tiện_lợi gọi món , một phần có nhiều loại cho mình thưởng_thức , cũng tiện_lợi cho những_ai chưa ăn qua có_thể thử cùng lúc nhiều loại shushi khác_nhau : )
 Có nhiều chi_nhánh để tiện ghé qua , tuy_nhiên gần đây chi_nhánh Kỳ_Đồng quận 10 đã nghỉ bán nên mình hay ghé qua PXL hơi xa nhưng thiết_kế của quán cực dễ_thương , phòng chung trên lầu trang_trí nhiều cây hoa anh_đào tuy giả nhưng rất đẹp làm tăng lên khẩu_vị của mình luôn hi
",1
"Gà chip ngon , khoai_tây lắc phô_mai rất ngon
 Khoai_tây giòn , nước_chấm khá ngon
 Nv phục_vụ cũng tốt
 Không_gian quán hơi chật , buổi tối khá là ồn
 Nhìn từ trên quán xuống là wc của công_viên : ) )
",1
"Quán rộng_rãi , decor đẹp . Thức_ăn và đồ uống cũng rất vừa_miệng . Đặc_biệt là món bánh brownie làm trên chảo này vừa nóng vừa mềm_dẻo . Quán ở vị_trí đẹp ngay quận 1 .
",1
"Hình_như đây là lần thứ 2 quán khuyến_mãi mua bánh tặng nước như_thế_này . Nói_chung vốn giá của quán cũng khá cao ngang_ngửa Starbuck và The_Coffee_Bean nhưng được có cái khuyến_mãi thì giá_cả rất hợp_lí và chất_lượng .
 Đây là 1 thương_hiệu cafe của Hàn_Quốc khá nổi_tiếng , coi phim Hàn cũng hay thấy diễn_viên uống ở đây : 3 Hihi
 Về món ăn thì mình gọi phần Choco_Devil_Brownie giá 150k . Hình_như các món ngọt thì đa_số là 150k còn có cái phô_mai "" lềnh_bềnh "" ( hình_như gọi_là Fondue ) thì 170k . Àh , khuyến_mãi chỉ dành cho 6 loại bánh của Winter_Menu thôi nha . 1 phần nhìn cũng nhỏ nhỏ thui nhưng thật_ra võ_công dữ_dội luôn á : ( ( . Ăn 2 người mà no ứ_hự , cái này thấy ăn 3 người rồi share tiền ra thấy hợp_lí hơn . Bánh_Brownie ngon , hơi ngọt , ăn chung vs kem cực đỉnh . Nhưng lúc gần hết kem thì ăn brownie không hơi ngán 😓 😓 . Kem ở trong phần này phải nói là siêu ngon luôn , rất ư là chất , hơn hẳn mấy thương_hiệu kem khác . Mà tiếc là ít lắm , ăn tí là hết à , còn viên kem không size nhỏ thì 75k/scoop . Ngoài_ra thì_có cái sốt chocolate ở trên bánh thì_phải . Lúc đầu còn nóng thì nó chảy ra , lúc sau thì đông lại ăn vui vui . Nói_chung là ngon nhưng nên ăn khoảnh 3 người thì sẽ đỡ ngán hơn : 3
 Còn nước mình gọi_là Choco_Latte thì_phải , khuyến_mãi chỉ cho tặng size Regular thôi . Mấy bạn muốn uống trong ly sứ như mình thì_phải hỏi nhân_viên , vì chỉ có 2 loại là đựng trong ly sứ thui , còn lại là loại ly take away . Nước cũng được , bình_thường như những nơi khác , không đặc_sắc lắm . Mình chỉ thích cái ly , uống xong có chữ trong ly nữa , vui vui 😊 😊
 Về phục_vụ thì ok , nhân_viên vui_vẻ , mà hay dụ khách mua order thêm á , hơi ngáo ngáo tí : ) )
 Gửi xe cũng ok , không có như hồi đầu quán mới mở phải gửi xe khu nhà hoang gần đó
 Về không_gian thì khá Vintage , hơn hẳn Starbuck là chắc rồi , HQ trùm trong mấy cái trang_trí vậy_mà 😍 😍
 Vị_trí quán thì đắc_địa khỏi chê luôn , nhưng ít chi_nhánh quá , chỉ có 1 cái trên Lê_Lai mà_lại ngoài_trời nữa chứ 😱 😱 , không phù_hợp cho khí_hậu và khói bụi Việt_Nam tí nào 😱 😱
",1
"Windmills thì SG cũng có , ĐL cũng có , chất_lượng khỏi nói nữa . Nhưng_mà đây chắc là chi_nhánh đẹp nhất của Windmills . Phục_vụ dễ_thương , tới lúc vắng khách là bắt_đầu quẩy : ) )
",1
"Lanh quanh , lẩn_quẩn rồi cũng đi ăn bánh_tráng thịt heo , bị nghiện món này , bị ghiền mắm nem rau thịt ở đây rồi .
",1
"Nơi đây cực_kỳ thích_hợp để hẹn hè ! Ngay góc sông nên gió rất mát nếu đi tối , nhưng tốt nhất đi sớm tránh hết ghế .
 Thức uống ở đây cũng khá ok , không phải kêu cho có như các quán khác . Đồ_ăn ở đây cũng được , tuy giá hơi chát ( vì là quán cafe ) nhưng chất_lượng cũng ngon ( hôm rồi nhờ chị nhân_viên tư_vấn nên kêu ăn khá ngon ) , nhân_viên phục_vụ cũng vui_vẻ , lần đó ăn chị ấy nhiệt_tình tư_vấn gần 10p luôn , cơ_mà quên hỏi tên = ) )
 Nói_chung nếu hẹn họ có ghé 1 lần chắc_chắn 100% sẽ ghé rất nhiều lần nữa , giờ mỗi lần đi cafe mình toàn ra đây thôi
",1
"Nhà_hàng nằm ngay mặt_tiền đường lê quý đôn , gần ngay Tú xương , khá dễ tìm . Không_gian nhà_hàng rộng_rãi , sạch_sẽ , thoáng , có không_gian ngoài_trời và phòng máy_lạnh . Phòng mái ngói nên khá mát . Thức_ăn ngon , hải_sản tươi . Gà đông cảo 2 món khá ngon_ăn với cơm cháy và hầm thuốc_bắc . Nhân_viên nhanh_nhẹn , phục_vụ nhiệt_tình . Toalet sạch_sẽ , đèn trong toalet từ vỏ thơm mùi khá dịu + nước hoa_hồng . Phù_hợp chiêu_đãi , tiếp khách . Lần sau có dịp sẽ thử nhiều món hơn .
",1
"Bánh dày làm_bằng xôi nếp được giã ra theo cách truyền_thống chứ không phải bột nếp như các quán khác . Bánh_mì thì nóng giòn do nướng tại_chỗ . Tóm_lại là rất hài_lòng , chiều nào cũng mua ăn
",1
"Ao_Ta_Quán là một nhà_hàng mặc_dù mới đưa vào hoạt đông không lâu nhưng đang dần_dần được biết đến bởi hương_vị thức_ăn ngon đặc_biệt . Đồ_ăn ở đây luôn tươi , ngon , thích con nào , bắt con đó ra làm luôn , tuyệt_đối không có đồ đông ướp_lạnh .
 Thực_đơn khá phong_phú ( chưa có menu chính_thức ) , chủ quán bảo là đang làm lại menu để bổ_sung thêm món mới nên sẽ up hình sau ( menu cũ khá sơ_sài ) . Nhiều món mới , lạ_mắt và ngon_miệng .
 Giá_cả thì_phải nói là rẻ so với nguyên_liệu tươi ngon và cách chế_biến . Gà mẹt ( nướng , bóp , lòng mề nấu miến , xôi ) chỉ 170k và đảm_bảo 100% gà ta . Món tôm sông Bồ rang muối , tôm giòn_rụm , ngọt mà chỉ 50k / đĩa . Khoai_tây chiên cũng chỉ có 30k/đĩa .
 Không_gian khá thoáng , mát_mẻ vì khu_vực này cây_cối nhiều . Mùa mưa thì ngồi phía trong quán , có mái che , ko lạnh mấy .
 Chất_lượng phục_vụ thì nhiệt_tình , anh chủ quán trẻ và rất năng_nổ trong kinh_doanh .
 View nhìn xung_quanh thì bình_thường , khá buồn .
",1
"Quán này có món bánh_tráng phơi sương hơi bị ok đó , các loại rau rừng chưa từng ăn bao_giờ nhưng cuốn lại ăn rất ngon
 có bánh_canh giò heo nữa , sợi bánh_canh làm_bằng 100% bột gạo nân rất ngon
",1
"Nhạc thì hay rồi còn chất_lượng đồ uống cũng_như gía cả nó thôi , tương_xứng nhau . shisha ngon và gía ok .
",1
